법령명,조문명
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제1조 목적
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제26조 과태료
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제25조 양벌규정
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제24조 벌칙
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제24조 제5장 벌칙
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제23조의2 관계기관에 대한 협조요청
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제23조 지도감독 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제22조의2 준비금의 적립
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제22조 우대
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제22조 제4장 보칙
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제21조 시효
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제20조 수급권의 보호
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제19조의2 피공제자 사망 시 퇴직공제금의 고지
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제19조 근로자에 대한 고지
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제18조 퇴직공제의 탈퇴
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제17조 
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제16조의2 신고포상금의 지급
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제16조 반환요구 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제15조 퇴직의 증명 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제14조 퇴직공제금의 지급
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제13조의2 공제부금의 납부 특례
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제13조 피공제자의 근로일수 신고 및 공제부금의 납부
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제12조 
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제11조 피공제자의 범위
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제10조의4 퇴직공제 관계의 신고
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제10조의3 소요 비용의 원가계산
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제10조의2 
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제10조 퇴직공제의 가입
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제9조의5 사업계획과 예산ㆍ결산
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제9조의4 이사회
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제9조의3 경력증명서의 발급
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제9조의2 공제회의 사업
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제9조 건설근로자공제회의 설립 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제8조 제3장 공제사업
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제8조 공제사업의 실시
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제7조의5 기능등급확인증의 발급
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제7조의4 건설근로자의 기능등급별 구분 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제7조의3 임금비용의 구분지급 및 확인
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제7조의2 고용 관련 편의시설의 설치 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제7조 건설근로자의 고용개선 등
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제6조 고용에 관한 서류의 발급
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제5조 고용관리 책임자
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제5조 제2장 건설근로자의 고용개선
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제4조 권고
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제3조 건설근로자 고용개선 기본계획의 수립ㆍ시행
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제2조 정의
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제1조 제1장 총칙
"건설근로자의 고용개선 등에 관한 법률[시행2022. 2. 18.] [법률 제18425호,2021. 8. 17., 타법개정]",제1조 목적
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제20조 과태료의 부과기준
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제19조의3 
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제19조의2 고유식별정보의 처리
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제19조 권한의 위임
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제18조 보고의 요구 등
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제17조 업무의 대행
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제16조 퇴직공제금 수령의 위임
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제15조 부정행위에 따른 퇴직공제금의 반환
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제14조 퇴직공제금 등의 계산방법
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제13조 퇴직공제금 등의 지급
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제12조의3 도급인의 공제부금 납부 특례
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제12조의2 피공제자의 근로일수 신고를 위한 전자카드 발급 등
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제12조 공제부금
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제11조 피공제자가 될 수 없는 자의 범위
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제10조의2 퇴직공제 가입에 드는 금액
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제10조 퇴직공제 임의가입의 요건
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제9조 공제부금납부확인서의 제출
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제8조 퇴직공제의 가입 등
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제7조 공제회의 승인기준
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제6조 퇴직공제의 당연 가입 대상
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제5조의5 이사회의 운영
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제5조의4 이사회의 구성
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제5조의3 자료 조회 요청
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제5조의2 정관의 기재사항
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제5조 공제사업의 실시
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제4조의5 업무의 위탁
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제4조의4 자료의 제출 요청
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제4조의3 건설근로자의 기능등급별 구분ㆍ관리
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제4조의2 임금비용의 구분지급 및 확인 대상 건설공사
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제4조 고용 관련 편의시설 설치 등의 의무 건설공사의 규모
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제3조의3 건설근로자 고용개선 등 지원
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제3조의2 고용관리 책임자 지정ㆍ신고
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제3조 기본계획의 중요사항 변경
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제2조 건설업의 정의
"건설근로자의 고용개선 등에 관한 법률 시행령[시행2024. 5. 17.] [대통령령 제34494호,2024. 5. 7., 타법개정]",제1조 목적
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제20조 지역별 사회적 대화의 지원
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제19조 성실이행 의무
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제18조 협의 결과의 보고
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제17조 관계 공무원 및 직원의 파견 등
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제16조 조사ㆍ연구의 의뢰
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제15조 여론의 수집
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제14조 관계 기관 등의 협조
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제13조 전문위원
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제12조 사무처
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제11조 특별위원회 등
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제10조 의제개발ㆍ조정위원회
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제9조 의제별ㆍ업종별위원회
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제8조 운영위원회
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제7조 위원회의 회의
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제6조 위원의 임기
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제5조 위원장 등의 직무
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제4조 위원회의 구성 및 운영
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제3조 위원회의 설치 및 기능
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제2조 참여주체의 책무
"경제사회노동위원회법[시행2021. 7. 6.] [법률 제17864호,2021. 1. 5., 타법개정]",제1조 목적
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제17조 운영세칙
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제16조 지역별 사회적 대화의 지원
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제15조 수당 등
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제14조 전문위원의 수·자격 등
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제13조 사무처의 조직 및 운영
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제12조 사회 각 계층 관련 위원회의 구성 및 운영
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제11조 특별위원회의 구성 및 운영
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제10조 의제개발·조정위원회의 구성 및 운영
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제9조 의제별·업종별위원회의 회의
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제8조 의제별·업종별위원회의 구성
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제7조 운영위원회의 회의
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제6조 운영위원회의 업무
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제5조 운영위원회의 구성
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제4조 위원회의 회의
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제3조 의안의 발의 및 상정
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제2조 위원의 추천 등
"경제사회노동위원회법 시행령[시행2018. 9. 13.] [대통령령 제29150호,2018. 9. 11., 전부개정]",제1조 목적
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제43조 한시정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제42조의2 임금근로시간정책과
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제42조 제10장 한시조직 및 한시정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제42조 노사관행개선과
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제41조 제9장 평가대상 조직 및 정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제41조 평가대상 조직 및 정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제40조의2 전문직공무원 정원의 배정 및 운영에 대한 특례
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제40조 개방형 직위에 대한 특례
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제39조 소속기관에 두는 공무원의 정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제38조 제8장 공무원의 정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제38조 고용노동부에 두는 공무원의 정원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제37조의3 하부조직
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제37조의2 제7장의2 고용노동부고객상담센터
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제37조의2 직무
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제37조 사무국장
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제36조 직무
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제35조 제7장 산업재해보상보험재심사위원회사무국
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제35조 산업재해보상보험재심사위원회 상임위원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제34조 수당
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제33조 연구위원
"고용노동부와 그 소속기관 직제[시행2025. 2. 25.] [대통령령 제35304호,2025. 2. 25., 일부개정]",제32조 사무국장
